Name;YT Scope Project;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\UpDown110Bar060326\Down110Bar65Signal060326.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34173E+17;fredag 6. mars 2026;08:09:24.915;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34173E+17;fredag 6. mars 2026;08:09:33.735;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;;;;;;;;;;
46,526;0;-1;0,452436348;0,441246477;-0,373280943;60,57313761;61,3448221;0,146488845;0,145107351;0,109866634;0,112841525;108,80459;110,1379664;;;;;;;;;;
46,527;0;-1;0,452436348;0,441246477;-0,373280943;60,5609302;61,34467108;0,146488845;0,145117053;0,09765923;0,112836368;108,7923826;110,1378587;;;;;;;;;;
46,528;0;-1;0,452436348;0,441246477;-0,373280943;60,5609302;61,34448224;0,146488845;0,145126726;0,09765923;0,112792932;108,7923826;110,137713;;;;;;;;;;
46,529;0;-1;0,452436348;0,441246477;-0,36345776;60,5487228;61,34429398;0,146488845;0,145136369;0,09765923;0,112749631;108,8534196;110,1375678;;;;;;;;;;
46,53;0;-1;0,452436348;0,441246477;-0,392927308;60,57313761;61,34406801;0,146488845;0,145145981;0,09765923;0,112706464;108,8412122;110,1376146;;;;;;;;;;
46,531;0;-1;0,452436348;0,441246477;-0,353634578;60,5609302;61,34391934;0,146488845;0,145155564;0,109866634;0,112663431;108,7923826;110,1376228;;;;;;;;;;
46,532;0;-1;0,452436348;0,441246477;-0,36345776;60,57313761;61,34373282;0,146488845;0,145165118;0,109866634;0,112658826;108,8167974;110,1374779;;;;;;;;;;
46,533;0;-1;0,452436348;0,441246477;-0,373280943;60,57313761;61,34358518;0,146488845;0,145174641;0,109866634;0,112654235;108,8167974;110,13741;;;;;;;;;;
46,534;0;-1;0,452436348;0,441246477;-0,36345776;60,59755242;61,343438;0,146488845;0,145184135;0,109866634;0,112649659;108,8900418;110,1373423;;;;;;;;;;
46,535;0;-1;0,452436348;0,441246477;-0,383104126;60,57313761;61,34336787;0,146488845;0,1451936;0,109866634;0,112645096;108,8534196;110,1375046;;;;;;;;;;
46,536;0;-1;0,452436348;0,441246477;-0,373280943;60,57313761;61,34322136;0,146488845;0,145203035;0,109866634;0,112640548;108,8534196;110,1375516;;;;;;;;;;
46,537;0;-1;0,452436348;0,441246477;-0,373280943;60,59755242;61,34307531;0,146488845;0,145212442;0,109866634;0,112636014;108,9022492;110,1375983;;;;;;;;;;
46,538;0;-1;0,452436348;0,441246477;-0,383104126;60,59755242;61,34300629;0,146488845;0,145221818;0,109866634;0,112631494;108,9022492;110,1377981;;;;;;;;;;
46,539;0;-1;0,452436348;0,441246477;-0,383104126;60,59755242;61,3429375;0,146488845;0,145231166;0,109866634;0,112626988;108,8900418;110,1379973;;;;;;;;;;
46,54;0;-1;0,452436348;0,441246477;-0,373280943;60,59755242;61,34286891;0,134281442;0,145240485;0,109866634;0,112622496;108,8412122;110,1381576;;;;;;;;;;
46,541;0;-1;0,452436348;0,441246477;-0,373280943;60,57313761;61,34280054;0,146488845;0,145211481;0,09765923;0,112618018;108,865627;110,1381642;;;;;;;;;;
46,542;0;-1;0,452436348;0,441246477;-0,373280943;60,5609302;61,34265579;0,146488845;0,145220861;0,109866634;0,112575259;108,8778344;110,1382473;;;;;;;;;;
46,543;0;-1;0,452436348;0,441246477;-0,392927308;60,5609302;61,3424732;0,146488845;0,145230211;0,109866634;0,112570928;108,8778344;110,1383685;;;;;;;;;;
46,544;0;-1;0,452436348;0,441246477;-0,36345776;60,5609302;61,34229117;0,146488845;0,145239533;0,109866634;0,112566609;108,8167974;110,1384894;;;;;;;;;;
46,545;0;-1;0,452436348;0,441246477;-0,383104126;60,5487228;61,3421097;0,146488845;0,145248826;0,122074038;0,112562304;108,8167974;110,1384183;;;;;;;;;;
46,546;0;-1;0,452436348;0,441246477;-0,373280943;60,5365154;61,34189051;0,134281442;0,14525809;0,122074038;0,112596308;108,8778344;110,1383475;;;;;;;;;;
46,547;0;-1;0,452436348;0,441246477;-0,36345776;60,5609302;61,34163369;0,134281442;0,145229031;0,122074038;0,112630205;108,926664;110,1384684;;;;;;;;;;
46,548;0;-1;0,452436348;0,441246477;-0,383104126;60,5609302;61,34145427;0,134281442;0,145200062;0,122074038;0,112663998;108,926664;110,1387421;;;;;;;;;;
46,549;0;-1;0,452408924;0,441215158;-0,353634578;60,5609302;61,3412754;0,134281442;0,145171183;0,122074038;0,112697686;108,865627;110,139015;;;;;;;;;;
46,55;0;-1;0,452408924;0,441215158;-0,36345776;60,5609302;61,34109708;0,134281442;0,145142393;0,122074038;0,112731269;108,8778344;110,1390955;;;;;;;;;;
46,551;0;-1;0,452408924;0,441215158;-0,343811395;60,5487228;61,34091932;0,134281442;0,145113692;0,122074038;0,112764749;108,926664;110,139214;;;;;;;;;;
46,552;0;-1;0,452408924;0,441215158;-0,343811395;60,5487228;61,34070381;0,122074038;0,145085081;0,122074038;0,112798124;108,865627;110,1394854;;;;;;;;;;
