Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\pB_120bar_0.075_13.05.26.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34231E+17;onsdag 13. mai 2026;11:43:07.601;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34231E+17;onsdag 13. mai 2026;11:44:03.687;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPxGrad;fUpfb;fUpfbGrad;fPx;fU_FF_Nominal;fU;fPID
0,051;0,007438401;0,078160607;0,076949577;0;74,85580004;72,27276918;0,122074038;0,140285771;0,09765923;0,108982145;120,3039644;121,8214033;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,25E-69;1,39E-67;0;0;1,25E-69;0,030269128
0,052;0,007438401;0,078160607;0,076949577;0;74,68489639;72,28354624;0,109866634;0,140233831;0,09765923;0,108950657;120,3039644;121,8211505;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,12E-69;1,25E-67;0;0;1,12E-69;0,030269128
0,053;0,008135751;0,078160607;0,076949577;0;74,48957793;72,29375377;0,109866634;0,140143758;0,09765923;0,108919267;120,2551347;121,8208985;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,01E-69;1,12E-67;0;0;1,01E-69;0,030269128
0,054;0,009065551;0,078160607;0,076949577;0;74,30646687;72,30331694;0,109866634;0,140053964;0,09765923;0,108887975;120,2185125;121,8204941;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-9,09E-70;1,01E-67;0;0;9,09E-70;0,030269128
0,055;0,009530451;0,078160607;0,076949577;0;74,30646687;72,31227604;0,109866634;0,139964448;0,09765923;0,108856779;120,2185125;121,819976;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-8,18E-70;9,09E-68;0;0;8,18E-70;0,030269128
0,056;0,009298001;0,078160607;0,076949577;0;74,09894101;72,32120737;0,109866634;0,13987521;0,09765923;0,10882568;120,2551347;121,8194595;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-7,36E-70;8,18E-68;0;0;7,36E-70;0,030269128
0,057;0,009298001;0,078160607;0,076949577;0;73,87920774;72,32946001;0,109866634;0,139786248;0,09765923;0,108794677;120,2185125;121,8190596;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-6,63E-70;7,36E-68;0;0;6,63E-70;0,030269128
0,058;0,008833101;0,078160607;0,076949577;0;73,68388928;72,33699776;0,109866634;0,139697563;0,09765923;0,108763771;120,1818903;121,818546;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-5,96E-70;6,63E-68;0;0;5,96E-70;0,030269128
0,059;0,007903301;0,078160607;0,076949577;0;73,48857082;72,34389943;0,109866634;0,139609152;0,09765923;0,10873296;120,1940977;121,8179191;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-5,37E-70;5,96E-68;0;0;5,37E-70;0,030269128
0,06;0,007438401;0,07812763;0,076918259;0;73,48857082;72,35016698;0,109866634;0,139521015;0,09765923;0,108702245;120,1940977;121,8173324;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-4,83E-70;5,37E-68;0;0;4,83E-70;0,030269128
0,061;0,006276151;0,07812763;0,076918259;0;73,29325236;72,35641511;0,122074038;0,139433152;0,09765923;0,108671625;120,2185125;121,8167476;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-4,35E-70;4,83E-68;0;0;4,35E-70;0,030269128
0,062;0,006276151;0,07812763;0,076918259;0;73,0979339;72,36203116;0,122074038;0,139383855;0,073244423;0,1086411;120,1696829;121,8162411;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-3,91E-70;4,35E-68;0;0;3,91E-70;0,030269128
