Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\SineWave_speedtreshold0.02_KvFF_PF_100bar_0.1freq_24.04.26.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34215E+17;fredag 24. april 2026;08:06:38.351;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34215E+17;fredag 24. april 2026;08:07:38.506;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPID;fPxGrad;fUpfb;fUpfbGrad;fPx
0,04;1,59E-53;0,006508601;0,034629916;0,034606953;-0,333988212;71,46214179;72,10159598;0,134281442;0,132434114;0,09765923;0,105990106;101,3092441;102,5805351;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,59E-53;1,77E-51;0
0,041;1,43E-53;0,007438401;0,034629916;0,034606953;-0,333988212;71,46214179;72,10225777;0,134281442;0,132444809;0,09765923;0,105967894;101,3214515;102,5803425;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,43E-53;1,59E-51;0
0,042;1,29E-53;0,008135751;0,034629916;0,034606953;-0,353634578;71,43772698;72,10291751;0,134281442;0,132455471;0,109866634;0,105945751;101,3580737;102,5801888;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,29E-53;1,43E-51;0
0,043;1,16E-53;0,007670851;0,034629916;0,034606953;-0,333988212;71,43772698;72,10349861;0,134281442;0,1324661;0,109866634;0,10596197;101,3580737;102,5801505;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,16E-53;1,29E-51;0
0,044;1,05E-53;0,007670851;0,034629916;0,034606953;-0,333988212;71,43772698;72,10407792;0,134281442;0,132476696;0,09765923;0,10597814;101,3092441;102,5801123;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,05E-53;1,16E-51;0
0,045;9,41E-54;0,006741051;0,034629916;0,034606953;-0,36345776;71,46214179;72,10465542;0,134281442;0,132487259;0,09765923;0,105955965;101,2848292;102,5799211;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-9,41E-54;1,05E-51;0
0,046;8,47E-54;0,006508601;0,034629916;0,034606953;-0,294695481;71,43772698;72,10530773;0,134281442;0,13249779;0,109866634;0,105933858;101,3458663;102,5796538;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-8,47E-54;9,41E-52;0
0,047;7,62E-54;0,006508601;0,034629916;0,034606953;-0,353634578;71,43772698;72,10588143;0,134281442;0,132508287;0,109866634;0,105950115;101,3580737;102,5795789;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-7,62E-54;8,47E-52;0
0,048;6,86E-54;0,006741051;0,034629916;0,034606953;-0,333988212;71,43772698;72,10645334;0,134281442;0,132518752;0,109866634;0,105966321;101,3580737;102,5795425;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-6,86E-54;7,62E-52;0
0,049;6,18E-54;0,006741051;0,034629916;0,034606953;-0,353634578;71,43772698;72,10702349;0,146488845;0,132529185;0,109866634;0,105982477;101,3458663;102,5795062;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-6,18E-54;6,86E-52;0
