Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\Ramp_04.05.26.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34223E+17;mandag 4. mai 2026;08:02:17.201;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34223E+17;mandag 4. mai 2026;08:03:05.623;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPID;fPxGrad;fUpfb;fUpfbGrad;fPx
0,078;0;0,006508601;0,034535483;0,034512997;-0,36345776;67,9708243;68,76315909;0,122074038;0,124022551;0,109866634;0,111045504;95,75487533;96,86835091;0;0;0;0;0;0;0;0;0;0
0,079;0;0,007205951;0,034535483;0,034512997;-0,353634578;68,00744652;68,76321777;0,109866634;0,124021027;0,109866634;0,111045914;95,69383831;96,86844207;0;0;0;0;0;0;0;0;0;0
0,08;0;0,007438401;0,034535483;0,034512997;-0,36345776;68,00744652;68,76339115;0,109866634;0,123981213;0,109866634;0,111046324;95,69383831;96,86834147;0;0;0;0;0;0;0;0;0;0
0,081;0;0,006741051;0,034535483;0,034512997;-0,343811395;67,99523911;68,763564;0,109866634;0,123941523;0,09765923;0,111046732;95,74266793;96,86824118;0;0;0;0;0;0;0;0;0;0
0,082;0;0,006741051;0,034535483;0,034512997;-0,373280943;67,9708243;68,76369802;0,122074038;0,123901956;0,09765923;0,111008844;95,75487533;96,86829438;0;0;0;0;0;0;0;0;0;0
0,083;0;0,006276151;0,03456696;0,034544316;-0,343811395;67,99523911;68,76375503;0,122074038;0,123900806;0,09765923;0,110971073;95,69383831;96,86838571;0;0;0;0;0;0;0;0;0;0
0,084;0;0,006043701;0,03456696;0,034544316;-0,36345776;68,00744652;68,76388845;0,122074038;0,12389966;0,09765923;0,11093342;95,68163091;96,86828529;0;0;0;0;0;0;0;0;0;0
0,085;0;0,005578801;0,03456696;0,034544316;-0,373280943;68,00744652;68,76405976;0,122074038;0,123898517;0,09765923;0,110895884;95,68163091;96,86814688;0;0;0;0;0;0;0;0;0;0
0,086;0;0,005113901;0,03456696;0,034544316;-0,343811395;67,9708243;68,76423053;0,122074038;0,123897378;0,09765923;0,110858463;95,73046052;96,8680089;0;0;0;0;0;0;0;0;0;0
0,087;0;0,005113901;0,03456696;0,034544316;-0,383104126;67,9464095;68,76428589;0,122074038;0,123896243;0,09765923;0,110821159;95,73046052;96,86802453;0;0;0;0;0;0;0;0;0;0
