Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\-Pa_120bar_0.075_13.05.26.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34232E+17;onsdag 13. mai 2026;15:40:20.201;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34232E+17;onsdag 13. mai 2026;15:41:12.537;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPxGrad;fUpfb;fUpfbGrad;fPx;fU_FF_Nominal;fU;fPID
0,041;0,006508601;0,136975501;0,131349828;0;69,06949065;69,84239821;0,134281442;0,142900763;0,109866634;0,107385882;123,7830744;125,2420449;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-8,59E-60;9,54E-58;0;0;8,59E-60;-0,00938095
0,042;0,007438401;0,136975501;0,131349828;0;69,06949065;69,84255777;0,134281442;0,142879012;0,109866634;0,107397638;123,8196966;125,2421021;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-7,73E-60;8,59E-58;0;0;7,73E-60;-0,00938095
0,043;0,006741051;0,136975501;0,131349828;0;69,05728324;69,84271683;0,134281442;0,142857328;0,09765923;0,107409357;123,831904;125,242274;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-6,95E-60;7,73E-58;0;0;6,95E-60;-0,00938095
0,044;0,006276151;0,136975501;0,131349828;0;69,03286843;69,84283711;0,134281442;0,142835711;0,09765923;0,107382745;123,770867;125,2424836;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-6,26E-60;6,95E-58;0;0;6,26E-60;-0,00938095
0,045;0,005811251;0,136975501;0,131349828;0;69,05728324;69,84288042;0,146488845;0,142814161;0,09765923;0,107356215;123,7586596;125,2425011;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-5,63E-60;6,26E-58;0;0;5,63E-60;-0,00938095
0,046;0,005811251;0,136975501;0,131349828;0;69,05728324;69,84300019;0,146488845;0,142830973;0,09765923;0,107329768;123,7586596;125,2424803;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-5,07E-60;5,63E-58;0;0;5,07E-60;-0,00938095
0,047;0,006043701;0,13701006;0,131381146;0;69,05728324;69,84311958;0,146488845;0,142847732;0,09765923;0,107303403;123,8196966;125,2424595;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-4,56E-60;5,07E-58;0;0;4,56E-60;-0,00938095
0,048;0,006276151;0,13701006;0,131381146;0;69,02066103;69,84323861;0,146488845;0,14286444;0,09765923;0,107277119;123,8074892;125,2426303;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-4,11E-60;4,56E-58;0;0;4,11E-60;-0,00938095
0,049;0,006508601;0,13701006;0,131381146;0;69,03286843;69,84324238;0,146488845;0,142881095;0,09765923;0,107250917;123,7586596;125,2427622;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-3,70E-60;4,11E-58;0;0;3,70E-60;-0,00938095
0,05;0,006741051;0,13701006;0,131381146;0;69,03286843;69,84328444;0,146488845;0,1428977;0,09765923;0,107224796;123,7830744;125,2427406;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-3,33E-60;3,70E-58;0;0;3,33E-60;-0,00938095
