Name;YT Scope Project;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\spool_mapping_run1.csv;
1953;-0,268;1953;-0,54925303454715224
1954;-0,2682;1954;-0,550186741363212
1955;-0,2684;1955;-0,55112044817927175
1956;-0,2686;1956;-0,55158730158730163
1957;-0,26880000000000004;1957;-0,55158730158730163
1958;-0,269;1958;-0,5520541549953315
1959;-0,2692;1959;-0,55275443510737632
1960;-0,2694;1960;-0,55368814192343607
1961;-0,2696;1961;-0,55485527544351076
1962;-0,2698;1962;-0,55485527544351076
1963;-0,27;1963;-0,55555555555555558
1964;-0,2702;1964;-0,55672268907563027
1965;-0,27040000000000003;1965;-0,55765639589169
1966;-0,2706;1966;-0,5581232492997199
1967;-0,27080000000000004;1967;-0,5581232492997199
1968;-0,271;1968;-0,55882352941176472
1969;-0,2712;1969;-0,55905695611577966
1970;-0,2714;1970;-0,55859010270774978
1971;-0,2716;1971;-0,55905695611577966
1972;-0,2718;1972;-0,55905695611577966
1973;-0,272;1973;-0,55975723622782447
1974;-0,2722;1974;-0,55975723622782447
1975;-0,27240000000000003;1975;-0,55975723622782447
1976;-0,2726;1976;-0,55999066293183941
1977;-0,27280000000000004;1977;-0,55999066293183941
1978;-0,273;1978;-0,56069094304388423
1979;-0,2732;1979;-0,56209150326797386
1980;-0,2734;1980;-0,5623249299719888
1981;-0,2736;1981;-0,56302521008403361
1982;-0,2738;1982;-0,56302521008403361
1983;-0,274;1983;-0,56325863678804855
1984;-0,2742;1984;-0,56372549019607843
1985;-0,27440000000000003;1985;-0,56489262371615312
1986;-0,2746;1986;-0,56582633053221287
1987;-0,27480000000000004;1987;-0,56582633053221287
1988;-0,275;1988;-0,56629318394024275
1989;-0,2752;1989;-0,56676003734827263
1990;-0,2754;1990;-0,5672268907563025
1991;-0,27559999999999996;1991;-0,56746031746031744
1992;-0,2758;1992;-0,56746031746031744
1993;-0,27599999999999997;1993;-0,56746031746031744
1994;-0,2762;1994;-0,56746031746031744
1995;-0,2764;1995;-0,56792717086834732
1996;-0,2766;1996;-0,56792717086834732
1997;-0,2768;1997;-0,56792717086834732
1998;-0,277;1998;-0,56816059757236226
1999;-0,2772;1999;-0,56792717086834732
2000;-0,2774;2000;-0,56862745098039214
2001;-0,27759999999999996;2001;-0,56886087768440707
2002;-0,2778;2002;-0,56886087768440707
2003;-0,27799999999999997;2003;-0,57002801120448177
2004;-0,2782;2004;-0,57096171802054152
2005;-0,2784;2005;-0,57166199813258634
2006;-0,2786;2006;-0,57189542483660127
2007;-0,2788;2007;-0,57189542483660127
2008;-0,279;2008;-0,57236227824463115
2009;-0,2792;2009;-0,5732959850606909
2010;-0,2794;2010;-0,57422969187675066
2011;-0,27959999999999996;2011;-0,57539682539682535
2012;-0,2798;2012;-0,57539682539682535
2013;-0,27999999999999997;2013;-0,57586367880485523
2014;-0,2802;2014;-0,576797385620915
2015;-0,2804;2015;-0,57726423902894486
2016;-0,2806;2016;-0,57843137254901966
2017;-0,2808;2017;-0,57843137254901966
2018;-0,281;2018;-0,57843137254901966
2019;-0,2812;2019;-0,57843137254901966
2020;-0,2814;2020;-0,57773109243697474
2021;-0,28159999999999996;2021;-0,57796451914098967
2022;-0,2818;2022;-0,57796451914098967
2023;-0,282;2023;-0,57796451914098967
2024;-0,2822;2024;-0,57843137254901966
2025;-0,2824;2025;-0,5786647992530346
2026;-0,2826;2026;-0,57913165266106448
2027;-0,2828;2027;-0,57913165266106448
2028;-0,28300000000000003;2028;-0,58029878618113917
2029;-0,2832;2029;-0,58123249299719892
2030;-0,2834;2030;-0,58193277310924374
2031;-0,28359999999999996;2031;-0,58239962651727362
2032;-0,2838;2032;-0,58239962651727362
2033;-0,284;2033;-0,58286647992530349
2034;-0,2842;2034;-0,58403361344537819
2035;-0,2844;2035;-0,58543417366946782
2036;-0,2846;2036;-0,58566760037348276
2037;-0,2848;2037;-0,58566760037348276
2038;-0,28500000000000003;2038;-0,58636788048552757
2039;-0,2852;2039;-0,58730158730158732
2040;-0,2854;2040;-0,58800186741363214
2041;-0,28559999999999997;2041;-0,588702147525677
2042;-0,2858;2042;-0,588702147525677
2043;-0,286;2043;-0,588702147525677
2044;-0,2862;2044;-0,588702147525677
2045;-0,2864;2045;-0,58916900093370683
2046;-0,2866;2046;-0,58940242763772177
2047;-0,2868;2047;-0,58940242763772177
2048;-0,28700000000000003;2048;-0,58940242763772177
2049;-0,2872;2049;-0,58940242763772177
2050;-0,2874;2050;-0,58963585434173671
2051;-0,28759999999999997;2051;-0,59033613445378152
2052;-0,2878;2052;-0,59126984126984128
2053;-0,288;2053;-0,59126984126984128
2054;-0,2882;2054;-0,59197012138188609
2055;-0,2884;2055;-0,592203548085901
2056;-0,2886;2056;-0,59267040149393091
2057;-0,2888;2057;-0,59313725490196079
2058;-0,28900000000000003;2058;-0,59313725490196079
2059;-0,2892;2059;-0,59430438842203548
2060;-0,2894;2060;-0,59547152194211017
2061;-0,28959999999999997;2061;-0,596171802054155
2062;-0,2898;2062;-0,59663865546218486
2063;-0,29;2063;-0,59663865546218486
2064;-0,2902;2064;-0,59757236227824462
2065;-0,2904;2065;-0,59757236227824462
2066;-0,2906;2066;-0,59780578898225956
2067;-0,2908;2067;-0,59803921568627449
2068;-0,29100000000000004;2068;-0,59803921568627449
2069;-0,2912;2069;-0,59803921568627449
2070;-0,2914;2070;-0,59803921568627449
2071;-0,29159999999999997;2071;-0,59897292250233425
2072;-0,2918;2072;-0,59897292250233425
2073;-0,292;2073;-0,59897292250233425
2074;-0,2922;2074;-0,59920634920634919
2075;-0,2924;2075;-0,59967320261437906
2076;-0,2926;2076;-0,60060690943043882
2077;-0,2928;2077;-0,60177404295051351
2078;-0,29300000000000004;2078;-0,60177404295051351
2079;-0,2932;2079;-0,60200746965452845
2080;-0,2934;2080;-0,6029411764705882
2081;-0,29359999999999997;2081;-0,60340802987861808
2082;-0,2938;2082;-0,6041083099906629
2083;-0,294;2083;-0,6041083099906629
2084;-0,2942;2084;-0,60527544351073759
2085;-0,2944;2085;-0,60620915032679734
2086;-0,29460000000000003;2086;-0,60690943043884216
2087;-0,2948;2087;-0,607609710550887
2088;-0,29500000000000004;2088;-0,607609710550887
2089;-0,2952;2089;-0,60807656395891685
2090;-0,2954;2090;-0,60877684407096166
2091;-0,2956;2091;-0,60854341736694673
2092;-0,2958;2092;-0,60854341736694673
2093;-0,296;2093;-0,60854341736694673
2094;-0,2962;2094;-0,60854341736694673
2095;-0,2964;2095;-0,60854341736694673
2096;-0,29660000000000003;2096;-0,60877684407096166
2097;-0,2968;2097;-0,60854341736694673
2098;-0,29700000000000004;2098;-0,60854341736694673
2099;-0,2972;2099;-0,60877684407096166
2100;-0,2974;2100;-0,60924369747899154
2101;-0,2976;2101;-0,61041083099906635
2102;-0,2978;2102;-0,611577964519141
2103;-0,298;2103;-0,611577964519141
2104;-0,2982;2104;-0,61204481792717091
2105;-0,2984;2105;-0,61274509803921573
2106;-0,29860000000000003;2106;-0,61321195144724561
2107;-0,2988;2107;-0,6143790849673203
2108;-0,29900000000000004;2108;-0,6143790849673203
2109;-0,2992;2109;-0,615546218487395
2110;-0,2994;2110;-0,61647992530345475
2111;-0,2996;2111;-0,6174136321195145
2112;-0,2998;2112;-0,61834733893557425
2113;-0,3;2113;-0,61834733893557425
2114;-0,30019999999999997;2114;-0,61881419234360413
2115;-0,3004;2115;-0,61974789915966388
2116;-0,3006;2116;-0,61974789915966388
2117;-0,3008;2117;-0,61998132586367882
2118;-0,301;2118;-0,61998132586367882
2119;-0,3012;2119;-0,61998132586367882
2120;-0,3014;2120;-0,61998132586367882
2121;-0,3016;2121;-0,61998132586367882
2122;-0,30179999999999996;2122;-0,62021475256769376
2123;-0,302;2123;-0,62021475256769376
2124;-0,30219999999999997;2124;-0,62021475256769376
2125;-0,3024;2125;-0,62068160597572364
2126;-0,3026;2126;-0,62184873949579833
2127;-0,3028;2127;-0,62254901960784315
2128;-0,303;2128;-0,62254901960784315
2129;-0,3032;2129;-0,623249299719888
2130;-0,3034;2130;-0,62371615312791784
2131;-0,3036;2131;-0,62418300653594772
2132;-0,30379999999999996;2132;-0,62535014005602241
2133;-0,304;2133;-0,62535014005602241
2134;-0,30419999999999997;2134;-0,6265172735760971
2135;-0,3044;2135;-0,62721755368814192
2136;-0,3046;2136;-0,62815126050420167
2137;-0,3048;2137;-0,62885154061624648
2138;-0,305;2138;-0,62885154061624648
2139;-0,3052;2139;-0,63001867413632118
2140;-0,3054;2140;-0,630718954248366
2141;-0,3056;2141;-0,630718954248366
2142;-0,30579999999999996;2142;-0,630718954248366
2143;-0,306;2143;-0,630718954248366
2144;-0,30619999999999997;2144;-0,63095238095238093
2145;-0,3064;2145;-0,63095238095238093
2146;-0,3066;2146;-0,63095238095238093
2147;-0,3068;2147;-0,63165266106442575
2148;-0,307;2148;-0,63165266106442575
2149;-0,30720000000000003;2149;-0,63188608776844069
2150;-0,3074;2150;-0,63281979458450044
2151;-0,3076;2151;-0,63398692810457513
2152;-0,30779999999999996;2152;-0,634453781512605
2153;-0,308;2153;-0,634453781512605
2154;-0,3082;2154;-0,63538748832866476
2155;-0,3084;2155;-0,63585434173669464
2156;-0,3086;2156;-0,63632119514472452
2157;-0,3088;2157;-0,63748832866479921
2158;-0,309;2158;-0,63748832866479921
2159;-0,30920000000000003;2159;-0,63795518207282909
2160;-0,3094;2160;-0,63912231559290378
2161;-0,3096;2161;-0,63982259570494859
2162;-0,30979999999999996;2162;-0,64052287581699341
2163;-0,31;2163;-0,64052287581699341
2164;-0,3102;2164;-0,64122315592903834
2165;-0,3104;2165;-0,64192343604108315
2166;-0,3106;2166;-0,64192343604108315
2167;-0,3108;2167;-0,64192343604108315
2168;-0,311;2168;-0,64192343604108315
2169;-0,31120000000000003;2169;-0,64192343604108315
2170;-0,3114;2170;-0,64192343604108315
2171;-0,3116;2171;-0,64192343604108315
2172;-0,31179999999999997;2172;-0,642390289449113
2173;-0,312;2173;-0,642390289449113
2174;-0,3122;2174;-0,642623716153128
2175;-0,3124;2175;-0,64355742296918772
2176;-0,3126;2176;-0,64472455648926241
2177;-0,3128;2177;-0,64495798319327735
2178;-0,313;2178;-0,64495798319327735
2179;-0,31320000000000003;2179;-0,64565826330532217
2180;-0,3134;2180;-0,646125116713352
2181;-0,3136;2181;-0,6470588235294118
2182;-0,31379999999999997;2182;-0,64799253034547155
2183;-0,314;2183;-0,64799253034547155
2184;-0,3142;2184;-0,64892623716153131
2185;-0,3144;2185;-0,64962651727357612
2186;-0,3146;2186;-0,65056022408963587
2187;-0,3148;2187;-0,65079365079365081
2188;-0,315;2188;-0,65079365079365081
2189;-0,31520000000000004;2189;-0,65126050420168069
2190;-0,3154;2190;-0,65126050420168069
2191;-0,3156;2191;-0,65172735760971057
2192;-0,31579999999999997;2192;-0,65172735760971057
2193;-0,316;2193;-0,65172735760971057
2194;-0,3162;2194;-0,65172735760971057
2195;-0,3164;2195;-0,65219421101774044
2196;-0,3166;2196;-0,65242763772175538
2197;-0,3168;2197;-0,65242763772175538
2198;-0,317;2198;-0,65242763772175538
2199;-0,31720000000000004;2199;-0,65289449112978526
2200;-0,3174;2200;-0,65406162464986
2201;-0,3176;2201;-0,65476190476190477
2202;-0,31779999999999997;2202;-0,65522875816993464
2203;-0,318;2203;-0,65522875816993464
2204;-0,3182;2204;-0,65592903828197946
2205;-0,3184;2205;-0,65639589169000934
2206;-0,3186;2206;-0,65732959850606909
2207;-0,31880000000000003;2207;-0,65849673202614378
2208;-0,319;2208;-0,65849673202614378
2209;-0,31920000000000004;2209;-0,65943043884220354
2210;-0,3194;2210;-0,66036414565826329
2211;-0,3196;2211;-0,66036414565826329
2212;-0,3198;2212;-0,661297852474323
2213;-0,32;2213;-0,661297852474323
2214;-0,3202;2214;-0,66176470588235292
2215;-0,3204;2215;-0,66176470588235292
2216;-0,3206;2216;-0,66199813258636786
2217;-0,32080000000000003;2217;-0,66199813258636786
2218;-0,321;2218;-0,66199813258636786
2219;-0,32120000000000004;2219;-0,66293183940242761
2220;-0,3214;2220;-0,66316526610644255
2221;-0,3216;2221;-0,66316526610644255
2222;-0,3218;2222;-0,66386554621848737
2223;-0,322;2223;-0,66386554621848737
2224;-0,3222;2224;-0,66456582633053218
2225;-0,3224;2225;-0,66619981325863675
2226;-0,3226;2226;-0,66643323996265169
2227;-0,32280000000000003;2227;-0,66690009337068157
2228;-0,323;2228;-0,66690009337068157
2229;-0,32320000000000004;2229;-0,66760037348272638
2230;-0,3234;2230;-0,66806722689075626
2231;-0,3236;2231;-0,669000933706816
2232;-0,3238;2232;-0,66993464052287577
2233;-0,324;2233;-0,66993464052287577
2234;-0,3242;2234;-0,67063492063492058
2235;-0,3244;2235;-0,67156862745098034
2236;-0,3246;2236;-0,67226890756302526
2237;-0,32480000000000003;2237;-0,67296918767507008
2238;-0,325;2238;-0,67296918767507008
2239;-0,3252;2239;-0,67296918767507008
2240;-0,3254;2240;-0,67296918767507008
2241;-0,3256;2241;-0,67296918767507008
2242;-0,3258;2242;-0,67226890756302526
2243;-0,32599999999999996;2243;-0,67226890756302526
2244;-0,3262;2244;-0,67273576097105514
2245;-0,32639999999999997;2245;-0,67226890756302526
2246;-0,3266;2246;-0,67296918767507008
2247;-0,3268;2247;-0,673202614379085
2248;-0,327;2248;-0,673202614379085
2249;-0,3272;2249;-0,6736694677871149
2250;-0,3274;2250;-0,67507002801120453
2251;-0,3276;2251;-0,6755368814192344
2252;-0,3278;2252;-0,67623716153127922
2253;-0,32799999999999996;2253;-0,67623716153127922
2254;-0,3282;2254;-0,6767040149393091
2255;-0,32839999999999997;2255;-0,677170868347339
2256;-0,3286;2256;-0,67810457516339873
2257;-0,3288;2257;-0,67903828197945848
2258;-0,329;2258;-0,67903828197945848
2259;-0,3292;2259;-0,67997198879551823
2260;-0,3294;2260;-0,680672268907563
2261;-0,3296;2261;-0,68183940242763774
2262;-0,3298;2262;-0,68230625583566762
2263;-0,32999999999999996;2263;-0,68230625583566762
2264;-0,3302;2264;-0,68253968253968256
2265;-0,33039999999999997;2265;-0,68347338935574231
2266;-0,3306;2266;-0,68347338935574231
