Name;YT Scope Project;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\UpDown120Bar060326\Down120Bar75Signal060326.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34173E+17;fredag 6. mars 2026;08:43:37.774;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34173E+17;fredag 6. mars 2026;08:43:45.623;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;;;;;;;;;;;
0,028;0,75;0;0,45375097;0,442749765;0;60,12146367;60,85256779;0,122074038;0,1415436;0,109866634;0,113163509;119,6691794;121,0632925;;;;;;;;;;;
0,029;0,75;0;0,45375097;0,442749765;0;60,13367107;60,85252586;0,109866634;0,141487762;0,109866634;0,113157354;119,5593127;121,0633985;;;;;;;;;;;
0,03;0,75;0;0,453778321;0,442781084;0;60,12146367;60,85252236;0,122074038;0,141393801;0,109866634;0,113151218;119,5471053;121,0631596;;;;;;;;;;;
0,031;0,75;0;0,453778321;0,442781084;0;60,08484146;60,85248057;0,122074038;0,141338427;0,109866634;0,113145101;119,5715201;121,062883;;;;;;;;;;;
0,032;0,75;0,006508601;0,453778321;0,442781084;0;60,08484146;60,85232403;0,122074038;0,141283224;0,109866634;0,113139003;119,5715201;121,062684;;;;;;;;;;;
0,033;0,75;0,009762901;0,45375097;0,442749765;0;60,08484146;60,85216797;0,134281442;0,141228192;0,109866634;0,113132923;119,4738609;121,0624855;;;;;;;;;;;
0,034;0,75;0,012552301;0,45375097;0,442749765;0;60,08484146;60,8520124;0,134281442;0,141211626;0,109866634;0,113126863;119,4128239;121,0619813;;;;;;;;;;;
0,035;0,75;0,016271502;0,45375097;0,442749765;0;60,07263405;60,8518573;0,146488845;0,14119511;0,109866634;0,113120821;119,4494461;121,0612872;;;;;;;;;;;
0,036;0,75;0,016271502;0,45375097;0,442749765;0;60,06042665;60,8516644;0,146488845;0,141216941;0,109866634;0,113114798;119,4250313;121,0607101;;;;;;;;;;;
0,037;0,75;0,019990702;0,45375097;0,442749765;0;60,06042665;60,8514338;0,146488845;0,141238704;0,109866634;0,113108794;119,4250313;121,0600582;;;;;;;;;;;
0,038;0,75;0,024407252;0,45375097;0,442749765;0;60,06042665;60,85120391;0,146488845;0,1412604;0,09765923;0,113102809;119,3639943;121,0594084;;;;;;;;;;;
0,039;0,75;0,028591353;0,45375097;0,442749765;0;60,07263405;60,85097474;0,146488845;0,141282028;0,109866634;0,113058547;119,3639943;121,0585691;;;;;;;;;;;
0,04;0,75;0,033472803;0,45375097;0,442749765;0;60,07263405;60,85078457;0,146488845;0,141303589;0,109866634;0,113052717;119,3762017;121,0577323;;;;;;;;;;;
0,041;0,75;0,033472803;0,45375097;0,442749765;0;60,07263405;60,85059499;0,146488845;0,141325083;0,109866634;0,113046905;119,3273721;121,0569365;;;;;;;;;;;
0,042;0,75;0,038586704;0,453723617;0,442718447;0;60,07263405;60,850406;0,146488845;0,141346511;0,109866634;0,113041111;119,3273721;121,05599;;;;;;;;;;;
0,043;0,75;0,044165504;0,453723617;0,442718447;0;60,07263405;60,85021759;0,146488845;0,141367872;0,109866634;0,113035336;119,3029572;121,0550464;;;;;;;;;;;
0,044;0,75;0,050441655;0,453723617;0,442718447;0;60,10925626;60,85002977;0,146488845;0,141389168;0,109866634;0,113029578;119,3517869;121,0540291;;;;;;;;;;;
0,045;0,75;0,056950256;0,453723617;0,442718447;0;60,10925626;60,84995742;0,146488845;0,141410397;0,109866634;0,113023838;119,3273721;121,0531682;;;;;;;;;;;
0,046;0,75;0,056950256;0,453723617;0,442718447;0;60,12146367;60,84988529;0,134281442;0,14143156;0,09765923;0,113018115;119,2907498;121,0522333;;;;;;;;;;;
0,047;0,75;0,063691306;0,453723617;0,442718447;0;60,12146367;60,84985167;0,134281442;0,141414363;0,09765923;0,112974116;119,2907498;121,0511865;;;;;;;;;;;
0,048;0,75;0,071827057;0,453723617;0,442718447;0;60,12146367;60,84981816;0,134281442;0,141397219;0,09765923;0,112930254;119,3151646;121,0501429;;;;;;;;;;;
0,049;0,75;0,079265458;0,453723617;0,442718447;0;60,10925626;60,84978476;0,134281442;0,141380129;0,09765923;0,112886527;119,3884091;121,0491791;;;;;;;;;;;
0,05;0,75;0,087168759;0,453723617;0,442718447;0;60,13367107;60,84971316;0,122074038;0,141363091;0,09765923;0,112842936;119,3762017;121,0484481;;;;;;;;;;;
0,051;0,75;0,087168759;0,453723617;0,442718447;0;60,14587848;60,84971838;0,122074038;0,141307812;0,073244423;0,112799479;119,3151646;121,0476811;;;;;;;;;;;
0,052;0,75;0,09553696;0,453723617;0,442718447;0;60,14587848;60,84976187;0,122074038;0,141252704;0,073244423;0,112679569;119,3151646;121,0467249;;;;;;;;;;;
0,053;0,75;0,10413761;0,453723617;0,442718447;0;60,13367107;60,84980523;0,122074038;0,141197767;0,09765923;0,11256003;119,3762017;121,0457717;;;;;;;;;;;
0,054;0,75;0,113668061;0,453723617;0,442718447;0;60,12146367;60,84981016;0,122074038;0,141143;0,09765923;0,112517451;119,3517869;121,045013;;;;;;;;;;;
0,055;0,75;0,122268712;0,453723617;0,442718447;0;60,13367107;60,84977678;0,122074038;0,141088403;0,09765923;0,112475004;119,2175054;121,04418;;;;;;;;;;;
0,056;0,75;0,122268712;0,453723617;0,442718447;0;60,13367107;60,8497818;0,122074038;0,141033975;0,09765923;0,112432688;119,1076388;121,0429284;;;;;;;;;;;
0,057;0,75;0,131334263;0,453723617;0,442718447;0;60,13367107;60,8497868;0,122074038;0,140979716;0,09765923;0,112390504;119,1076388;121,0413359;;;;;;;;;;;
0,058;0,75;0,140864714;0,453723617;0,442718447;0;60,13367107;60,84979179;0,134281442;0,140925625;0,109866634;0,11234845;119,022187;121,0397485;;;;;;;;;;;
0,059;0,75;0,149930265;0,453723617;0,442718447;0;60,13367107;60,84979676;0,134281442;0,140909997;0,109866634;0,112344822;118,8390759;121,0378978;;;;;;;;;;;
0,06;0,75;0,159693166;0,453723617;0,442718447;0;60,13367107;60,84980172;0,134281442;0,140894417;0,109866634;0,112341204;118,570513;121,0354785;;;;;;;;;;;
0,061;0,75;0,159693166;0,453723617;0,442718447;0;60,14587848;60,84980666;0,146488845;0,140878885;0,109866634;0,112337598;118,3996094;121,0322243;;;;;;;;;;;
0,062;0,75;0,168526267;0,453723617;0,442718447;0;60,14587848;60,84984988;0,146488845;0,140901696;0,109866634;0,112334003;118,3996094;121,0284439;;;;;;;;;;;
0,063;0,75;0,177824268;0,453723617;0,442718447;0;60,14587848;60,84989296;0,146488845;0,140924436;0,109866634;0,11233042;118,2042909;121,0246753;;;;;;;;;;;
0,064;0,75;0,187354719;0,453723617;0,442718447;0;60,13367107;60,84993592;0,158696249;0,140947106;0,109866634;0,112326847;117,9479354;121,0203057;;;;;;;;;;;
0,065;0,75;0,19711762;0,453723617;0,442718447;0;60,13367107;60,84994044;0,146488845;0,141008;0,109866634;0,112323285;117,7037873;121,0151454;;;;;;;;;;;
0,066;0,75;0,19711762;0,453723617;0,442718447;0;60,13367107;60,84994495;0,146488845;0,141030411;0,122074038;0,112319735;117,5206763;121,0092353;;;;;;;;;;;
0,067;0,75;0,206648071;0,453723617;0,442718447;0;60,13367107;60,84994945;0,146488845;0,141052752;0,122074038;0,11235449;117,5206763;121,002769;;;;;;;;;;;
0,068;0,75;0,215946072;0,453723617;0,442718447;0;60,13367107;60,84995393;0,146488845;0,141075024;0,122074038;0,112389137;117,3131504;120,9963228;;;;;;;;;;;
