Time,<fPistonPosition_G_OPCfPistonPosition>,<fSpoolPosition_G_OPCfSpoolPosition>
0.779 sec,0,-1
0.78 sec,0,-1
0.781 sec,0,-1
0.782 sec,0,-1
0.783 sec,0,-1
0.784 sec,0,-1
0.785 sec,0,-1
0.786 sec,0,-1
0.787 sec,0,-1
0.788 sec,0,-1
0.789 sec,0,-1
0.79 sec,0,-1
0.791 sec,0,-1
0.792 sec,0,-1
0.793 sec,0,-1
0.794 sec,0,-1
0.795 sec,0,-1
0.796 sec,0,-1
0.797 sec,0,-1
0.798 sec,0,-1
0.799 sec,0,-1
0.8 sec,0,-1
0.801 sec,0,-1
0.802 sec,0,-1
0.803 sec,0,-1
0.804 sec,0,-1
0.805 sec,0,-1
0.806 sec,0,-1
0.807 sec,0,-1
0.808 sec,0,-1
0.809 sec,0,-1
0.81 sec,0,-1
0.811 sec,0,-1
0.812 sec,0,-1
0.813 sec,0,-1
0.814 sec,0,-1
0.815 sec,0,-1
0.816 sec,0,-1
0.817 sec,0,-1
0.818 sec,0,-1
0.819 sec,0,-1
0.82 sec,0,-1
0.821 sec,0,-1
0.822 sec,0,-1
0.823 sec,0,-1
0.824 sec,0,-1
0.825 sec,0,-1
0.826 sec,0,-1
0.827 sec,0,-1
0.828 sec,0,-1
0.829 sec,0,-1
0.83 sec,0,-1
0.831 sec,0,-1
0.832 sec,0,-1
0.833 sec,0,-1
0.834 sec,0,-1
0.835 sec,0,-1
0.836 sec,0,-1
0.837 sec,0,-1
0.838 sec,0,-1
0.839 sec,0,-1
0.84 sec,0,-1
0.841 sec,0,-1
0.842 sec,0,-1
0.843 sec,0,-1
0.844 sec,0,-1
0.845 sec,0,-1
0.846 sec,0,-1
0.847 sec,0,-1
0.848 sec,0,-1
0.849 sec,0,-1
0.85 sec,0,-1
0.851 sec,0,-1
0.852 sec,0,-1
0.853 sec,0,-1
0.854 sec,0,-1
0.855 sec,0,-1
0.856 sec,0,-1
0.857 sec,0,-1
0.858 sec,0,-1
0.859 sec,0,-1
0.86 sec,0,-1
0.861 sec,0,-1
0.862 sec,0,-1
0.863 sec,0,-1
0.864 sec,0,-1
0.865 sec,0,-1
0.866 sec,0,-1
0.867 sec,0,-1
0.868 sec,0,-1
0.869 sec,0,-1
0.87 sec,0,-1
0.871 sec,0,-1
0.872 sec,0,-1
0.873 sec,0,-1
0.874 sec,0,-1
0.875 sec,0,-1
0.876 sec,0,-1
0.877 sec,0,-1
0.878 sec,0,-1
0.879 sec,0,-1
0.88 sec,0,-1
0.881 sec,0,-1
0.882 sec,0,-1
0.883 sec,0,-1
0.884 sec,0,-1
0.885 sec,0,-1
0.886 sec,0,-1
0.887 sec,0,-1
0.888 sec,0,-1
0.889 sec,0,-1
0.89 sec,0,-1
0.891 sec,0,-1
0.892 sec,0,-1
0.893 sec,0,-1
0.894 sec,0,-1
0.895 sec,0,-1
0.896 sec,0,-1
0.897 sec,0,-1
0.898 sec,0,-1
0.899 sec,0,-1
0.9 sec,0,-1
0.901 sec,0,-1
0.902 sec,0,-1
0.903 sec,0,-1
0.904 sec,0,-1
0.905 sec,0,-1
0.906 sec,0,-1
0.907 sec,0,-1
0.908 sec,0,-1
0.909 sec,0,-1
0.91 sec,0,-1
0.911 sec,0,-1
0.912 sec,0,-1
0.913 sec,0,-1
0.914 sec,0,-1
0.915 sec,0,-1
0.916 sec,0,-1
0.917 sec,0,-1
0.918 sec,0,-1
0.919 sec,0,-1
0.92 sec,0,-1
0.921 sec,0,-1
0.922 sec,0,-1
0.923 sec,0,-1
0.924 sec,0,-1
0.925 sec,0,-1
0.926 sec,0,-1
0.927 sec,0,-1
0.928 sec,0,-1
0.929 sec,0,-1
0.93 sec,0,-1
0.931 sec,0,-1
0.932 sec,0,-1
0.933 sec,0,-1
0.934 sec,0,-1
0.935 sec,0,-1
0.936 sec,0,-1
0.937 sec,0,-1
0.938 sec,0,-1
0.939 sec,0,-1
0.94 sec,0,-1
0.941 sec,0,-1
0.942 sec,0,-1
0.943 sec,0,-1
0.944 sec,0,-1
0.945 sec,0,-1
0.946 sec,0,-1
0.947 sec,0,-1
0.948 sec,0,-1
0.949 sec,0,-1
0.95 sec,0,-1
0.951 sec,0,-1
0.952 sec,0,-1
0.953 sec,0,-1
0.954 sec,0,-1
0.955 sec,0,-1
0.956 sec,0,-1
0.957 sec,0,-1
0.958 sec,0,-1
0.959 sec,0,-1
0.96 sec,0,-1
0.961 sec,0,-1
0.962 sec,0,-1
0.963 sec,0,-1
0.964 sec,0,-1
0.965 sec,0,-1
0.966 sec,0,-1
0.967 sec,0,-1
0.968 sec,0,-1
0.969 sec,0,-1
0.97 sec,0,-1
0.971 sec,0,-1
0.972 sec,0,-1
0.973 sec,0,-1
0.974 sec,0,-1
0.975 sec,0,-1
0.976 sec,0,-1
0.977 sec,0,-1
0.978 sec,0,-1
0.979 sec,0,-1
0.98 sec,0,-1
0.981 sec,0,-1
0.982 sec,0,-1
0.983 sec,0,-1
